node_id,x_mm,y_mm,z_mm,rho
541,-10.2196511,-0.45,3.059627233,0.034133
542,-16.25,-1.0,2.0,0.0
543,-17.0,-1.0,2.9,0.013196
544,-13.25,-1.0,2.0,0.0
545,-12.87419119,-1.0,2.7913846049999997,0.0036056
546,-12.43645211,-0.45,2.900725815,0.0024711
547,-14.75,-1.0,2.0,0.0
548,-13.62419119,-1.0,2.7913846049999997,0.0036056
549,-13.18645211,-0.45,2.900725815,0.0024711
550,-16.25,-1.0,2.9,0.013196
551,-14.37419119,-1.0,2.7913846049999997,0.0036056
552,-15.195665929999999,-0.45,2.9631436570000003,0.014748
553,-11.0,-1.0,-3.25,0.10594
554,-10.25,-1.0,-4.0,0.25155
555,-11.0,-1.0,-1.75,0.034498
556,-10.25,-1.0,-3.25,0.21364
557,-10.10737381,-1.0,-2.023383545,0.166
558,-11.0,-1.0,-0.25,0.00048364
559,-10.10737381,-1.0,-1.2733835450000002,0.13247
560,-9.650411542,-1.0,1.019039879,0.085618
561,-10.10737381,-1.0,-0.5233835447,0.13199
562,-5.75,-1.0,-4.0,0.98363
563,-5.0,-1.0,-4.666666667,0.99949
564,-5.0,-0.45,-4.666666667,0.99949
565,-3.2701863739999997,-1.0,-3.7845396659999997,0.99927
566,-4.249999976000001,-1.0,-2.375000066,0.97607
567,-5.76514419,-1.0,-2.762104636,0.85299
568,-3.750000011,-1.0,-5.000000142,0.99949
569,-5.165803105,-0.45,-2.752297656,0.90751
570,-7.25,-1.0,-4.0,0.86155
571,-6.51514419,-1.0,-2.762104636,0.83764
572,-5.915803105,-0.45,-2.752297656,0.89216
573,-8.75,-1.0,-4.0,0.55704
574,-7.26514419,-1.0,-2.762104636,0.73091
575,-8.607373814,-1.0,-2.7733835449999997,0.5094
576,-9.357373813999999,-1.0,-2.7733835449999997,0.31161
577,-5.0,-1.0,-7.333333333,1.0
578,-4.166666666999999,-1.0,-8.0,1.0
579,-5.0,-0.45,-8.0,1.0
580,-5.0,-1.0,-6.0,1.0
581,-4.166666666999999,-1.0,-7.333333333,1.0
582,-5.0,-0.45,-7.333333333,1.0
583,-5.0,-0.45,-6.666666667,1.0
584,-5.0,-0.45,-6.0,1.0
585,-3.750000011,-1.0,-6.333333476,1.0
586,-5.0,-0.45,-5.333333333,1.0
587,-3.750000011,-1.0,-5.666666809,1.0
588,4.166666666999999,-1.0,-8.0,1.0
589,5.0,-1.0,-7.333333333,1.0
590,5.0,-0.45,-8.0,1.0
591,2.5,-1.0,-8.0,1.0
592,4.166666666999999,-1.0,-7.333333333,1.0
593,4.166666666999999,-0.45,-8.0,1.0
594,3.333333333,-0.45,-8.0,1.0
595,2.5,-0.45,-8.0,1.0
596,3.248263855,-1.0,-7.109375093000001,1.0
597,0.8333333333,-1.0,-8.0,1.0
598,1.6666666669999999,-0.45,-8.0,1.0
599,1.1571690380000001,-1.0,-6.815787666,1.0
